Record #,Full Citation,Title,Authors,Journal,Year,DOI,Category,Therapeutic area,Medical Condition,Concept of Interest,Outcome Assessment,Comparator Measure,Technology,Sensor(s),Make and Model,Wear location,Algorithm / Analysis Software,Sample size,Participant age,Participant gender
200,"Author: Batsis, J. A., Naslund, J. A., Gill, L. E., Masutani, R. K., Agarwal, N. and Bartels, S. J.
Year: 2016
Title: Use of a Wearable Activity Device in Rural Older Obese Adults: A Pilot Study
Journal: Gerontol Geriatr Med
Volume: 2
Pages: 2333721416678076
",,,,,,,,,,,,,,,,,,,
204,"Author: Bayes, A., Sama, A., Prats, A., Perez-Lopez, C., Crespo-Maraver, M., Moreno, J. M., Alcaine, S., Rodriguez-Molinero, A., Mestre, B., Quispe, P., de Barros, A. C., Castro, R., Costa, A., Annicchiarico, R., Browne, P., Counihan, T., Lewy, H., Vainstein, G., Quinlan, L. R., Sweeney, D., G, O. Laighin, Rovira, J., Rodrigue, Z. Martin D. and Cabestany, J.
Year: 2018
Title: A ""HOLTER"" for Parkinson's disease: Validation of the ability to detect on-off states using the REMPARK system
Journal: Gait Posture
Volume: 59
Pages: 1-6
",,,,,,,,,,,,,,,,,,,
249,"Author: Bernad-Elazari, H., Herman, T., Mirelman, A., Gazit, E., Giladi, N. and Hausdorff, J. M.
Year: 2016
Title: Objective characterization of daily living transitions in patients with Parkinson's disease using a single body-fixed sensor
Journal: J Neurol
Volume: 263
Issue: 8
Pages: 1544-51
",,,,,,,,,,,,,,,,,,,
264,"Author: Bianchi, M. T., Lipoma, T., Darling, C., Alameddine, Y. and Westover, M. B.
Year: 2014
Title: Automated sleep apnea quantification based on respiratory movement
Journal: Int J Med Sci
Volume: 11
Issue: 8
Pages: 796-802
",,,,,,,,,,,,,,,,,,,
292,"Author: Bochniewicz, E. M., Emmer, G., McLeod, A., Barth, J., Dromerick, A. W. and Lum, P.
Year: 2017
Title: Measuring Functional Arm Movement after Stroke Using a Single Wrist-Worn Sensor and Machine Learning
Journal: J Stroke Cerebrovasc Dis
Volume: 26
Issue: 12
Pages: 2880-2887
",,,,,,,,,,,,,,,,,,,
307,"Author: Bonnet, S., Bourgerette, A., Gharbi, S., Rubeck, C., Arkouche, W., Massot, B., McAdams, E., Montalibet, A. and Jallon, P.
Year: 2016
Title: Wearable impedance monitoring system for dialysis patients
Journal: Conf Proc IEEE Eng Med Biol Soc
Volume: 2016
Pages: 5196-5199
",,,,,,,,,,,,,,,,,,,
310,"Author: Bonora, B., Maran, A., Ciciliot, S., Avogaro, A. and Fadini, G. P.
Year: 2016
Title: Head-to-head comparison between flash and continuous glucose monitoring systems in outpatients with type 1 diabetes
Journal: J Endocrinol Invest
Volume: 39
Issue: 12
Pages: 1391-1399
",,,,,,,,,,,,,,,,,,,
311,"Author: Bonora, G., Mancini, M., Carpinella, I., Chiari, L., Horak, F. B. and Ferrarin, M.
Year: 2017
Title: Gait initiation is impaired in subjects with Parkinson's disease in the OFF state: Evidence from the analysis of the anticipatory postural adjustments through wearable inertial sensors
Journal: Gait Posture
Volume: 51
Pages: 218-221
",,,,,,,,,,,,,,,,,,,
337,"Author: Braga, L. M., Prado, G. F., Umeda, II, Kawauchi, T. S., Taboada, A. M., Azevedo, R. S., Pereira Filho, H. G., Grupi, C. J., Souza, H. C., Moreira, D. A. and Nakagawa, N. K.
Year: 2016
Title: Reproducibility for Heart Rate Variability Analysis during 6-Min Walk Test in Patients with Heart Failure and Agreement between Devices
Journal: PLoS One
Volume: 11
Issue: 12
Pages: e0167407
",,,,,,,,,,,,,,,,,,,
358,"Author: Brogioli, M., Popp, W. L., Schneider, S., Albisser, U., Brust, A. K., Frotzler, A., Gassert, R., Curt, A. and Starkey, M. L.
Year: 2017
Title: Multi-Day Recordings of Wearable Sensors Are Valid and Sensitive Measures of Function and Independence in Human Spinal Cord Injury
Journal: J Neurotrauma
Volume: 34
Issue: 6
Pages: 1141-1148
",,,,,,,,,,,,,,,,,,,
